feature,importance
hard_hit_percent_mean,0.157972
SLG_mean,0.15481743
BB_pct_mean,0.07645089
OPS_mean,0.06358666
exit_velocity_avg_mean,0.06104794
SLG_delta,0.051469423
OBP_mean,0.048590835
hard_hit_percent_delta,0.04757982
AVG_delta,0.046807647
BB_pct_delta,0.045839187
K_pct_delta,0.043632593
AVG_mean,0.041976467
OPS_delta,0.041962698
OBP_delta,0.03649573
K_pct_mean,0.032689974
Age_mean,0.025019843
exit_velocity_avg_delta,0.02406088
Age_delta,0.0
