label,MAE,RMSE
Linear Regression (2022-24 → 2025),0.051880183764878955,0.06752784264817865
Random Forest (2022-24 → 2025),0.04010995350709467,0.05419407770525222
XGBoost (2022-24 → 2025),0.006575305063333081,0.00853679414945332
